cow,date,hour,WALK,SLEEP,EAT,ACTIVITY_LEVEL,A,B,B2,B3,B4,C,D,E,F,F2,OK
10127,2013-10-05,2,3163.810000,351.667000,84.522000,460.825430,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-05,3,721.764000,1928.525000,949.710000,70.799690,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-05,4,227.526000,3372.473000,0.000000,-739.264630,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-05,5,185.216000,3413.609000,1.174000,-755.002430,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-05,6,109.047000,2298.992000,1191.960000,-10.697440,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-05,7,110.308000,29.337000,3460.354000,1464.250450,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-05,8,707.610000,1247.803000,1644.586000,516.949030,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-05,9,59.846000,3540.153000,0.000000,-804.659830,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-05,10,15.252000,3584.747000,0.000000,-822.051490,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-05,11,174.018000,1897.877000,1528.104000,233.134850,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-05,12,474.942000,2.348000,3122.709000,1386.988460,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-05,13,3188.305000,370.550000,41.144000,442.182780,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-05,14,1022.041000,2577.958000,0.000000,-429.403780,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-05,15,636.207000,2963.792000,0.000000,-579.879040,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-05,16,192.461000,2896.244000,511.294000,-420.598880,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-05,17,405.942000,14.074000,3179.983000,1397.306560,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-05,18,740.304000,1019.964000,1839.731000,656.543940,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-05,19,520.709000,3079.290000,0.000000,-624.923260,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-05,20,936.861000,2663.138000,0.000000,-462.623980,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-05,21,2027.285000,1572.714000,0.000000,-37.358620,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-05,22,1136.695000,2463.304000,0.000000,-384.688720,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-05,23,1147.670000,938.314000,1514.015000,603.701280,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-05,24,2031.380000,36.355000,1532.264000,960.210030,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,1,1582.812000,2017.187000,0.000000,-210.703090,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,2,3277.208000,305.155000,17.636000,461.574750,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,3,281.430000,2722.001000,596.568000,-330.472870,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,4,379.793000,1653.787000,1566.419000,338.291850,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,5,51.549000,1646.815000,1901.635000,428.167090,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,6,276.777000,3323.222000,0.000000,-720.056740,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,7,0.000000,3599.999000,0.000000,-827.999770,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,8,0.000000,3599.999000,0.000000,-827.999770,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,9,162.685000,3437.314000,0.000000,-764.552620,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,10,230.629000,37.568000,3331.802000,1427.616840,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,11,355.835000,759.072000,2485.092000,926.085680,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,12,15.276000,3584.723000,0.000000,-822.042130,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,13,3080.592000,370.739000,148.668000,470.065310,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,14,28.217000,2833.832000,737.950000,-337.327640,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,15,0.000000,3599.999000,0.000000,-827.999770,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,16,0.000000,3599.999000,0.000000,-827.999770,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,17,498.940000,137.779000,2963.280000,1292.718830,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,18,908.947000,9.393000,2681.659000,1269.567910,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,19,1346.673000,1949.305000,304.021000,-105.183650,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,20,41.072000,3558.927000,0.000000,-811.981690,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,21,774.841000,2825.158000,0.000000,-525.811780,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,22,16.987000,3583.012000,0.000000,-821.374840,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,23,118.980000,3481.019000,0.000000,-781.597570,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-06,24,199.438000,3400.561000,0.000000,-750.218950,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,1,117.416000,3482.583000,0.000000,-782.207530,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,2,3222.297000,330.560000,47.142000,459.338360,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,3,1634.663000,55.144000,1910.192000,1051.143600,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,4,93.862000,0.000000,3506.137000,1487.595460,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,5,238.196000,290.252000,3071.551000,1261.404820,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,6,312.286000,3287.713000,0.000000,-706.208230,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,7,235.917000,3364.082000,0.000000,-735.992140,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,8,177.112000,2041.751000,1381.136000,138.812310,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,9,193.897000,239.740000,3166.362000,1305.755360,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,10,1664.531000,1672.418000,263.050000,-7.850180,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,11,439.452000,3160.547000,0.000000,-656.613490,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,12,942.556000,2657.443000,0.000000,-460.402930,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,13,1605.760000,0.000000,1994.239000,1094.501980,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,14,300.310000,3254.397000,45.292000,-681.439070,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,15,450.463000,3149.536000,0.000000,-652.319200,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,16,0.000000,3599.999000,0.000000,-827.999770,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,17,61.082000,1369.646000,2169.271000,605.848360,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,18,322.053000,14.108000,3263.838000,1419.095600,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,19,1490.211000,1371.455000,738.333000,233.098970,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,20,197.155000,3402.844000,0.000000,-751.109320,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,21,30.513000,3569.486000,0.000000,-816.099700,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,22,0.000000,3599.999000,0.000000,-827.999770,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,23,82.219000,3517.780000,0.000000,-795.934360,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-07,24,949.471000,487.402000,2163.126000,948.325820,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,1,2249.971000,44.597000,1305.431000,898.019070,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,2,2397.396000,236.220000,966.383000,735.133620,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,3,468.991000,3131.008000,0.000000,-645.093280,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,4,765.820000,2728.129000,106.050000,-460.397470,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,5,336.927000,0.000000,3263.072000,1424.398560,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,6,397.924000,2369.597000,832.478000,-131.698710,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,7,554.166000,3045.833000,0.000000,-611.875030,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,8,964.480000,2635.519000,0.000000,-451.852570,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,9,51.651000,3548.348000,0.000000,-807.855880,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,10,184.293000,1771.167000,1644.539000,312.824850,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,11,614.490000,14.096000,2971.413000,1343.069780,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,12,1352.366000,546.258000,1701.375000,805.316720,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,13,2780.823000,819.176000,0.000000,256.521200,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,14,0.000000,3599.999000,0.000000,-827.999770,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,15,0.000000,3599.999000,0.000000,-827.999770,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,16,0.000000,3599.999000,0.000000,-827.999770,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,17,135.083000,1251.993000,2212.923000,663.082550,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,18,1283.880000,110.429000,2205.690000,1106.411930,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,19,2422.440000,456.004000,721.555000,585.762580,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,20,119.835000,3480.164000,0.000000,-781.264120,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,21,390.676000,3209.323000,0.000000,-675.636130,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,22,69.376000,3530.623000,0.000000,-800.943130,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,23,136.192000,1182.614000,2281.193000,707.890560,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-08,24,544.685000,2151.262000,904.052000,-27.938820,0,0,0,0,0,0,0,0,0,0,1
